method,route,source,symbol,auth_dependency_chain,authorization_evidence,expected_request,actual_request_declaration,expected_response_declaration,actual_return_expressions,consumer_candidates,service_db_calls,declared_error_paths,test_reference_candidates,production_readiness
POST,/api/v1/instructor-management/masters/hire-from-application,app/api/api_v1/endpoints/instructor_management/masters/applications.py:32,hire_from_application,app.database.get_db; app.dependencies.get_current_admin_user; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""data"", ""type"": ""<class 'app.schemas.instructor_management.HireFromApplicationRequest'>"", ""required"": true}]}",<class 'app.schemas.instructor_management.MasterOfferResponse'>,response,UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; HTTPException; LocationMasterInstructor; MasterOfferResponse; datetime.now; db.add; db.commit; db.query; db.query(LocationMasterInstructor).filter; db.query(LocationMasterInstructor).filter(LocationMasterInstructor.location_id == location.id, LocationMasterInstructor.is_active == True, (LocationMasterInstructor.offer_status == None) | (LocationMasterInstructor.offer_status == MasterOfferStatus.ACCEPTED)).first; db.query(PositionApplication).filter; db.query(PositionApplication).filter(PositionApplication.id == data.application_id).first; db.query(PositionApplication).filter(PositionApplication.position_id == position.id, PositionApplication.id != data.application_id, PositionApplication.status == ApplicationStatus.PENDING).all; db.refresh; router.post; timedelta","HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Application {data.application_id} not found') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=f'Application is {application.status.value}, cannot hire') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='This is not a master position - use assistant hiring endpoint') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=f'Location {location.name} already has an active master')",tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_masters_applications_endpoint.py,UNVERIFIED
PATCH,/api/v1/instructor-management/masters/offers/{offer_id}/respond,app/api/api_v1/endpoints/instructor_management/masters/offers.py:37,respond_to_offer,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""offer_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": [{""name"": ""action"", ""type"": ""<class 'app.schemas.instructor_management.MasterOfferAction'>"", ""required"": true}]}",<class 'app.schemas.instructor_management.MasterInstructorResponse'>,response,UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; HTTPException; MasterInstructorResponse.from_orm; check_instructor_has_active_master_position; datetime.now; db.commit; db.query; db.query(LocationMasterInstructor).filter; db.query(LocationMasterInstructor).filter(LocationMasterInstructor.id == offer_id).first; db.query(LocationMasterInstructor).filter(LocationMasterInstructor.instructor_id == current_user.id, LocationMasterInstructor.id != offer_id, LocationMasterInstructor.offer_status == MasterOfferStatus.OFFERED).all; db.refresh; get_instructor_active_master_location; router.patch; transition_to_instructor_assigned","HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Offer {offer_id} not found') | HTTPException(status_code=status.HTTP_403_FORBIDDEN, detail='This offer does not belong to you') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=f'Offer is {master.offer_status.value}, cannot respond') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='Offer has expired') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=f'You are already master at {active_location}. Cannot accept multiple master positions.')",tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_instructor_masters_offers.py,UNVERIFIED
GET,/api/v1/instructor-management/masters/my-offers,app/api/api_v1/endpoints/instructor_management/masters/offers.py:146,get_my_master_offers,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [{""name"": ""status"", ""type"": ""typing.Optional[str]"", ""required"": false}, {""name"": ""include_expired"", ""type"": ""<class 'bool'>"", ""required"": false}], ""body"": []}",typing.List[app.schemas.instructor_management.MasterOfferResponse],responses,UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; MasterOfferResponse; datetime.now; db.query; db.query(LocationMasterInstructor).filter; query.all; query.filter; responses.append; router.get; status.upper,"HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=f'Invalid status: {status}. Valid: OFFERED, ACCEPTED, DECLINED, EXPIRED')",tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_instructor_masters_offers.py,UNVERIFIED
GET,/api/v1/instructor-management/masters/pending-offers,app/api/api_v1/endpoints/instructor_management/masters/offers.py:214,get_pending_offers,app.database.get_db; app.dependencies.get_current_admin_user; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",typing.List[app.schemas.instructor_management.MasterOfferResponse],responses,UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; MasterOfferResponse; datetime.now; db.query; db.query(LocationMasterInstructor).filter; db.query(LocationMasterInstructor).filter(LocationMasterInstructor.offer_status == MasterOfferStatus.OFFERED).all; responses.append; router.get,,tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_instructor_masters_offers.py,UNVERIFIED
DELETE,/api/v1/instructor-management/masters/offers/{offer_id},app/api/api_v1/endpoints/instructor_management/masters/offers.py:258,cancel_offer,app.database.get_db; app.dependencies.get_current_admin_user; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""offer_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": []}",None,None,UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; datetime.now; db.commit; db.query; db.query(LocationMasterInstructor).filter; db.query(LocationMasterInstructor).filter(LocationMasterInstructor.id == offer_id).first; router.delete,"HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Offer {offer_id} not found') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=f'Can only cancel OFFERED contracts, this is {offer.offer_status.value}')",tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_instructor_masters_offers.py,UNVERIFIED
POST,/api/v1/instructor-management/masters/,app/api/api_v1/endpoints/instructor_management/masters/legacy.py:31,create_master_instructor_legacy,app.database.get_db; app.dependencies.get_current_admin_user; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""data"", ""type"": ""<class 'app.schemas.instructor_management.MasterInstructorCreate'>"", ""required"": true}]}",<class 'app.schemas.instructor_management.MasterInstructorResponse'>,response,UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; HTTPException; LocationMasterInstructor; MasterInstructorResponse.from_orm; db.add; db.commit; db.query; db.query(Location).filter; db.query(Location).filter(Location.id == data.location_id).first; db.query(LocationMasterInstructor).filter; db.query(LocationMasterInstructor).filter(LocationMasterInstructor.location_id == data.location_id, LocationMasterInstructor.is_active == True).first; db.query(User).filter; db.query(User).filter(User.id == data.instructor_id).first; db.refresh; router.post; transition_to_instructor_assigned","HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Location {data.location_id} not found') | HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Instructor {data.instructor_id} not found') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=f'Location {location.name} already has an active master instructor')",tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_instructor_masters_legacy.py,UNVERIFIED
GET,/api/v1/instructor-management/masters/{location_id},app/api/api_v1/endpoints/instructor_management/masters/legacy.py:99,get_master_for_location,app.database.get_db; app.dependencies.get_current_admin_user; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""location_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": []}",<class 'app.schemas.instructor_management.MasterInstructorResponse'>,response,UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; HTTPException; MasterInstructorResponse.from_orm; db.query; db.query(LocationMasterInstructor).filter; db.query(LocationMasterInstructor).filter(LocationMasterInstructor.location_id == location_id, LocationMasterInstructor.is_active == True).first; router.get","HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'No active master instructor found for location {location_id}')",tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_instructor_masters_legacy.py,UNVERIFIED
GET,/api/v1/instructor-management/masters/,app/api/api_v1/endpoints/instructor_management/masters/legacy.py:128,list_all_masters,app.database.get_db; app.dependencies.get_current_admin_user; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [{""name"": ""include_inactive"", ""type"": ""<class 'bool'>"", ""required"": false}], ""body"": []}",<class 'app.schemas.instructor_management.MasterInstructorListResponse'>,"MasterInstructorListResponse(total=len(master_responses), masters=master_responses)",UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; MasterInstructorListResponse; MasterInstructorResponse.from_orm; db.query; len; master_responses.append; query.all; query.filter; router.get,,tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_instructor_masters_legacy.py,UNVERIFIED
PATCH,/api/v1/instructor-management/masters/{master_id},app/api/api_v1/endpoints/instructor_management/masters/legacy.py:159,update_master_instructor,app.database.get_db; app.dependencies.get_current_admin_user; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""master_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": [{""name"": ""data"", ""type"": ""<class 'app.schemas.instructor_management.MasterInstructorUpdate'>"", ""required"": true}]}",<class 'app.schemas.instructor_management.MasterInstructorResponse'>,response,UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; HTTPException; MasterInstructorResponse.from_orm; datetime.now; db.commit; db.query; db.query(LocationMasterInstructor).filter; db.query(LocationMasterInstructor).filter(LocationMasterInstructor.id == master_id).first; db.query(LocationMasterInstructor).filter(LocationMasterInstructor.location_id == master.location_id, LocationMasterInstructor.is_active == True, LocationMasterInstructor.id != master_id).first; db.refresh; router.patch","HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Master instructor {master_id} not found') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='Another master is already active for this location')",tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_instructor_masters_legacy.py,UNVERIFIED
DELETE,/api/v1/instructor-management/masters/{master_id},app/api/api_v1/endpoints/instructor_management/masters/legacy.py:214,terminate_master_instructor,app.database.get_db; app.dependencies.get_current_admin_user; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""master_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": []}",None,None,UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; datetime.now; db.commit; db.query; db.query(LocationMasterInstructor).filter; db.query(LocationMasterInstructor).filter(LocationMasterInstructor.id == master_id).first; router.delete,"HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Master instructor {master_id} not found') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='Master instructor is already terminated')",tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_instructor_masters_legacy.py,UNVERIFIED
POST,/api/v1/instructor-management/positions/,app/api/api_v1/endpoints/instructor_management/positions.py:33,create_position,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""data"", ""type"": ""<class 'app.schemas.instructor_management.PositionCreate'>"", ""required"": true}]}",<class 'app.schemas.instructor_management.PositionResponse'>,response,UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; HTTPException; InstructorPosition; PositionResponse.from_orm; Semester.status.in_; db.add; db.commit; db.query; db.query(Location).filter; db.query(Location).filter(Location.id == data.location_id).first; db.query(LocationMasterInstructor).filter; db.query(LocationMasterInstructor).filter(LocationMasterInstructor.location_id == data.location_id, LocationMasterInstructor.instructor_id == current_user.id, LocationMasterInstructor.is_active == True).first; db.query(Semester).filter; db.query(Semester).filter(Semester.location_id == data.location_id, Semester.specialization_type == data.specialization_type, Semester.age_group == data.age_group, Semester.status.in_([SemesterStatus.DRAFT, SemesterStatus.SEEKING_INSTRUCTOR, SemesterStatus.INSTRUCTOR_ASSIGNED, SemesterStatus.READY_FOR_ENROLLMENT, SemesterStatus.ONGOING])).first; db.refresh; router.post","HTTPException(status_code=status.HTTP_403_FORBIDDEN, detail='You are not the master instructor for this location') | HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Location {data.location_id} not found') | HTTPException(status_code=status.HTTP_422_UNPROCESSABLE_ENTITY, detail=f'No active semester found for {data.specialization_type} - {data.age_group} at this location. Admin must create a semester for this specialization/age group before you can post p",tests/unit/test_positions.py; tests/integration/api_smoke/test_instructor_management_smoke.py,UNVERIFIED
GET,/api/v1/instructor-management/positions/my-positions,app/api/api_v1/endpoints/instructor_management/positions.py:124,list_my_positions,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [{""name"": ""location_id"", ""type"": ""typing.Optional[int]"", ""required"": false}, {""name"": ""status_filter"", ""type"": ""typing.Optional[app.schemas.instructor_management.PositionStatusEnum]"", ""required"": false}], ""body"": []}",<class 'app.schemas.instructor_management.PositionListResponse'>,"PositionListResponse(total=len(position_responses), positions=position_responses)",UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; InstructorPosition.created_at.desc; PositionListResponse; PositionResponse.from_orm; Query; db.query; db.query(InstructorPosition).filter; hasattr; len; position_responses.append; query.filter; query.order_by; query.order_by(InstructorPosition.created_at.desc()).all; router.get,,tests/unit/test_positions.py; tests/integration/api_smoke/test_instructor_management_smoke.py,UNVERIFIED
GET,/api/v1/instructor-management/positions/job-board,app/api/api_v1/endpoints/instructor_management/positions.py:162,get_job_board,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [{""name"": ""location_id"", ""type"": ""typing.Optional[int]"", ""required"": false}, {""name"": ""specialization"", ""type"": ""typing.Optional[str]"", ""required"": false}], ""body"": []}",<class 'app.schemas.instructor_management.JobBoardResponse'>,"JobBoardResponse(total=len(job_board_positions), positions=job_board_positions)",UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; InstructorPosition.application_deadline.asc; InstructorPosition.priority.desc; JobBoardPosition; JobBoardResponse; Query; db.query; db.query(InstructorPosition).filter; db.query(PositionApplication).filter; db.query(PositionApplication).filter(PositionApplication.position_id == pos.id, PositionApplication.applicant_id == current_user.id).first; job_board_positions.append; len; query.filter; query.order_by; query.order_by(InstructorPosition.priority.desc(), InstructorPosition.application_deadline.asc()).all; router.get",,tests/unit/test_positions.py; tests/integration/api_smoke/test_instructor_management_smoke.py,UNVERIFIED
GET,/api/v1/instructor-management/positions/{position_id},app/api/api_v1/endpoints/instructor_management/positions.py:223,get_position,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""position_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": []}",<class 'app.schemas.instructor_management.PositionResponse'>,response,UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; PositionResponse.from_orm; db.query; db.query(InstructorPosition).filter; db.query(InstructorPosition).filter(InstructorPosition.id == position_id).first; hasattr; len; router.get,"HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Position {position_id} not found')",tests/unit/test_positions.py; tests/integration/api_smoke/test_instructor_management_smoke.py,UNVERIFIED
PATCH,/api/v1/instructor-management/positions/{position_id},app/api/api_v1/endpoints/instructor_management/positions.py:257,update_position,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""position_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": [{""name"": ""data"", ""type"": ""<class 'app.schemas.instructor_management.PositionUpdate'>"", ""required"": true}]}",<class 'app.schemas.instructor_management.PositionResponse'>,response,UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; PositionResponse.from_orm; db.commit; db.query; db.query(InstructorPosition).filter; db.query(InstructorPosition).filter(InstructorPosition.id == position_id).first; db.refresh; hasattr; len; router.patch,"HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Position {position_id} not found') | HTTPException(status_code=status.HTTP_403_FORBIDDEN, detail='You can only update your own positions')",tests/unit/test_positions.py; tests/integration/api_smoke/test_instructor_management_smoke.py,UNVERIFIED
DELETE,/api/v1/instructor-management/positions/{position_id},app/api/api_v1/endpoints/instructor_management/positions.py:316,delete_position,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""position_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": []}",None,None,UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; db.commit; db.delete; db.query; db.query(InstructorPosition).filter; db.query(InstructorPosition).filter(InstructorPosition.id == position_id).first; db.query(PositionApplication).filter; db.query(PositionApplication).filter(PositionApplication.position_id == position_id).count; router.delete,"HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Position {position_id} not found') | HTTPException(status_code=status.HTTP_403_FORBIDDEN, detail='You can only delete your own positions') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='Cannot delete position with existing applications. Cancel it instead.')",tests/unit/test_positions.py; tests/integration/api_smoke/test_instructor_management_smoke.py,UNVERIFIED
POST,/api/v1/instructor-management/applications/,app/api/api_v1/endpoints/instructor_management/applications.py:32,create_application,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""data"", ""type"": ""<class 'app.schemas.instructor_management.ApplicationCreate'>"", ""required"": true}]}",<class 'app.schemas.instructor_management.ApplicationResponse'>,response,UNVERIFIED — no exact literal match; dynamic URLs may exist,"ApplicationResponse.from_orm; Depends; HTTPException; PositionApplication; datetime.now; db.add; db.commit; db.query; db.query(InstructorAssignment).filter; db.query(InstructorAssignment).filter(InstructorAssignment.instructor_id == current_user.id, InstructorAssignment.is_active == True, InstructorAssignment.year == position.year, InstructorAssignment.time_period_start == position.time_period_start, InstructorAssignment.age_group == position.age_group, InstructorAssignment.specialization_type == position.specialization_type).first; db.query(InstructorPosition).filter; db.query(InstructorPosition).filter(InstructorPosition.id == data.position_id).first; db.query(InstructorSpecializationAvailability).filter; db.query(InstructorSpecializationAvailability).filter(InstructorSpecializationAvailability.instructor_id == current_user.id, InstructorSpecializationAvailability.specialization_type == position.specialization_type, InstructorSpecializationAvailability.year == position.year, InstructorSpecializationAvailability.time_period_code == position.time_period_start, InstructorSpecializationAvailability.location_city == location.city, InstructorSpecializationAvailability.is_available == True).first; db.query(Location).filter; db.query(Location).filter(Location.id == position.location_id).first; db.query(LocationMasterInstructor).filter; db.query(LocationMasterInstructor).filter(LocationMasterInstructor.instructor_id == current_user.id, LocationMasterInstructor.is_active == True, LocationMasterInstructor.location_id != position.location_id).first; db.query(PositionApplication).filter; db.query(PositionApplication).filter(PositionApplication.position_id == data.position_id, PositionApplication.applicant_id == current_user.id).first; db.query(UserLicense).filter; db.query(UserLicense).filter(UserLicense.user_id == current_user.id, UserLicense.specialization_type == position.specialization_type, UserLicense.is_active == True, UserLicense.current_level >= 1).first; db.refresh; router.post","HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Position {data.position_id} not found') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='Position is not accepting applications') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='Application deadline has passed') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='You have already applied to this position') | HTTPException(status_code=status.HTTP_500_INTERNAL_SERVER_ERROR, detail='Position location not found') | HTTPException(status_code=status.HTTP_403_FORBIDDEN, detail=f'You cannot apply to this position because you have not marked yourself as available for {position.specialization_type} in {location.city} during {position.year} {position.time_period_start | HTTPException(status_code=status.HTTP_403_FORBIDDEN, detail=f'You do not have an active {position.specialization_type} license. Only instructors with verified licenses can apply to positions.') | HTTPException(status_code=status.HTTP_409_CONFLICT, detail=f'You are already serving as Master Instructor at another location. You must terminate that position before applying to new positions.') | HTTPException(status_code=status.HTTP_409_CONFLICT, detail=f'You already have an active assignment for {position.specialization_type} - {position.age_group} during {position.year} {position.time_period_start}. You cannot apply to multiple positions i",tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_applications_endpoint.py,UNVERIFIED
GET,/api/v1/instructor-management/applications/my-applications,app/api/api_v1/endpoints/instructor_management/applications.py:200,list_my_applications,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [{""name"": ""status_filter"", ""type"": ""typing.Optional[app.schemas.instructor_management.ApplicationStatusEnum]"", ""required"": false}], ""body"": []}",<class 'app.schemas.instructor_management.ApplicationListResponse'>,"ApplicationListResponse(total=len(app_responses), applications=app_responses)",UNVERIFIED — no exact literal match; dynamic URLs may exist,ApplicationListResponse; ApplicationResponse.from_orm; Depends; PositionApplication.created_at.desc; Query; app_responses.append; db.query; db.query(PositionApplication).filter; len; query.filter; query.order_by; query.order_by(PositionApplication.created_at.desc()).all; router.get,,tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_applications_endpoint.py,UNVERIFIED
GET,/api/v1/instructor-management/applications/for-position/{position_id},app/api/api_v1/endpoints/instructor_management/applications.py:235,list_applications_for_position,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""position_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [{""name"": ""status_filter"", ""type"": ""typing.Optional[app.schemas.instructor_management.ApplicationStatusEnum]"", ""required"": false}], ""body"": []}",<class 'app.schemas.instructor_management.ApplicationListResponse'>,"ApplicationListResponse(total=len(app_responses), applications=app_responses)",UNVERIFIED — no exact literal match; dynamic URLs may exist,ApplicationListResponse; ApplicationResponse.from_orm; Depends; HTTPException; PositionApplication.created_at.asc; Query; app_responses.append; db.query; db.query(InstructorPosition).filter; db.query(InstructorPosition).filter(InstructorPosition.id == position_id).first; db.query(PositionApplication).filter; len; query.filter; query.order_by; query.order_by(PositionApplication.created_at.asc()).all; router.get,"HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Position {position_id} not found') | HTTPException(status_code=status.HTTP_403_FORBIDDEN, detail='You can only view applications for your own positions')",tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_applications_endpoint.py,UNVERIFIED
PATCH,/api/v1/instructor-management/applications/{application_id},app/api/api_v1/endpoints/instructor_management/applications.py:289,review_application,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""application_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": [{""name"": ""data"", ""type"": ""<class 'app.schemas.instructor_management.ApplicationUpdate'>"", ""required"": true}]}",<class 'app.schemas.instructor_management.ApplicationResponse'>,response,UNVERIFIED — no exact literal match; dynamic URLs may exist,ApplicationResponse.from_orm; Depends; HTTPException; application.status.value.lower; datetime.now; db.commit; db.query; db.query(PositionApplication).filter; db.query(PositionApplication).filter(PositionApplication.id == application_id).first; db.refresh; router.patch,"HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Application {application_id} not found') | HTTPException(status_code=status.HTTP_403_FORBIDDEN, detail='You can only review applications for your own positions') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=f'Application has already been {application.status.value.lower()}')",tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_applications_endpoint.py,UNVERIFIED
GET,/api/v1/instructor-management/applications/{application_id},app/api/api_v1/endpoints/instructor_management/applications.py:342,get_application,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""application_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": []}",<class 'app.schemas.instructor_management.ApplicationResponse'>,response,UNVERIFIED — no exact literal match; dynamic URLs may exist,ApplicationResponse.from_orm; Depends; HTTPException; db.query; db.query(PositionApplication).filter; db.query(PositionApplication).filter(PositionApplication.id == application_id).first; router.get,"HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f'Application {application_id} not found') | HTTPException(status_code=status.HTTP_403_FORBIDDEN, detail='You do not have access to this application')",tests/integration/api_smoke/test_instructor_management_smoke.py; tests/unit/services/test_applications_endpoint.py,UNVERIFIED
